ParentType,TypeID,ElementID,ParentTypeName,TypeName,Content,Notes
,,,,City HEAD1,AmeriSpec [Home inspection] in [City]\nI,1-Home Inspection
,,,,City INTRO1,"Nothing ensures and provides the confidence to close a real estate deal like a [home inspection] by an AmeriSpec in [city]. AmeriSpec is the #1 Canadian  home inspection company and has been around for the past 20 years.  Each and every one of our inspectors are trained to not only meet but to exceed the high Standards of practice of the Canadian Association of Home Inspectors. To arrange an appointment for a [home inspection] in [city], enter your postal code to contact your local AmeriSpec inspector today.\nC",1-Home Inspection
,,,,City CONTACT1,[phone]\n[postal code]\n[online form]\nC,1-Home Inspection
,,,,City CTA H1,Book your [home inspection] in [city]\nC,1-Home Inspection
,,,,City CTA B1,Enter the first three digits of your postal code for a [home inspection] in [city].\nS,1-Home Inspection
,,,,City SUB1,[Home inspection] in [city] you can depend on\nB,1-Home Inspection
,,,,City BODY1,"Your AmeriSpec [Home Inspection] in [city] will access over 400 items including the foundation, roof, and structural components, plus visible electrical, plumbing and mechanical operating systems of the home. All of our inspectors have been trained to execute a [home inspection] in [city] that meets the highest standards in the industry and exceeds the standards set by the Canadian Association of Home and Property Inspectors (CAPHI).\nB",1-Home Inspection
,,,,City BULLET H1,"A [Home Inspection] in [City] by AmeriSpec provides the following benefits, including:\nB",1-Home Inspection
,,,,City BULLET1,\nLess Buyer Discomfort\nReduced Buyer Remorse\nLess Negotiation\nReduced Listing Time\nContact AmeriSpec to learn more\nS,1-Home Inspection
,,,,City SUB2,The AmeriSpec [Home inspection] in [City]\nB,1-Home Inspection
,,,,City BODY2,"You can be sure and confident about using an AmeriSpec inspector to perform your [home inspection] in [city]. Our highly-experienced team of certified inspectors have examined more homes than any other home inspection company in North America and continue to set the  standards for the home inspection industry. The home inspection findings will be packaged in an, easy-to-reference binder and features a detailed evaluation of the home, a Home Repair Manual, a Seasonal Maintenance Checklist, and our Home Owner Rewards Program which provides a wide range of discounts offered by our partners.\nL",1-Home Inspection
,,,,City LINK FEATURE1,"Did you know that our inspectors also perform Home Energy Audits in [City]? Learn more, now\nF",1-Home Inspection
,,,,City FOOT1,"Have a stress-free and successful closing. Contact your local AmeriSpec to get a [home inspection] in [city], now.\nLearn how you can earn 500 Aeroplan® Miles with a [home inspection] in [city] from AmeriSpec!\nD",1-Home Inspection
,,,,City DOWNLOAD H1,The AmeriSpec InfoCentre\nD,1-Home Inspection
,,,,City DOWNLOAD B1,Download our brochures for more detailed information about the [home inspection] in [city].,1-Home Inspection
